id,de,en
FW_DEBUG_TRANS,Übersetzungen,Translations
FW_DEBUG_PART,Teil,Part
FW_DEBUG_GENERAL_TELEPORT_MAP,Auf Karte Teleportieren,Teleport on map
FW_DEBUG_GENERAL_TELEPORT_SCENE,Zu Szene Teleportieren,Teleport to scene
FW_DEBUG_GENERAL_CHANGE_CHAPTER,Kapitel ändern,Change chapter
FW_DEBUG_GENERAL_TELEPORTATIONS,Teleportationen,Teleportations
FW_DEBUG_GENERAL_BATTLES,Kämpfe,Battles
FW_DEBUG_GENERAL_CHAPTERS,Kapitel,Chapters
FW_DEBUG_GENERAL_CURR_CHAPTER,Momentanes Kapitel:,Current chapter:
FW_DEBUG_TYPE_MAP,Map,Map
FW_DEBUG_TYPE_GLOBAL,Global,Global
FW_DEBUG_DIALOGUES_ATTRIBUTES_TYPE,Typ,Type
FW_DEBUG_DIALOGUES_ATTRIBUTES_TEXT_OBJECT,Objekt,Object
FW_DEBUG_DIALOGUES_ATTRIBUTES_TEXT_STATIC,Statisch,Static
FW_DEBUG_DIALOGUES_ATTRIBUTES_TEXT_POS,Position,Position
FW_DEBUG_DIALOGUES_ATTRIBUTES_OBJECT,Objekt,Object
FW_DEBUG_DIALOGUES_ATTRIBUTES_ENSURE_VISIBILITY,Sichtbarkeit Garantieren,Ensure Visibility
FW_DEBUG_DIALOGUES_ATTRIBUTES_SPRITES,Sprites,Sprites
FW_DEBUG_DIALOGUES_ATTRIBUTES_SPRITES_LEFT,Linkes Sprite:,Left sprite:
FW_DEBUG_DIALOGUES_ATTRIBUTES_SPRITES_RIGHT,Rechtes Sprite:,Right sprite:
FW_DEBUG_DIALOGUES_ATTRIBUTES_MINI_BUST,Mini Bust,Mini Bust
FW_DEBUG_DIALOGUES_ATTRIBUTES_POS,Position,Position
FW_DEBUG_DIALOGUES_ATTRIBUTES_NAME_POS,Name Position,Name Position
FW_DEBUG_DIALOGUES_ATTRIBUTES_SHOW_ARROW,Pfeil Anzeigen,Show Arrow
FW_DEBUG_DIALOGUES_ATTRIBUTES_LOC,Lokalisierung,Localization
FW_DEBUG_DIALOGUES_ATTRIBUTES_LOC_ID,Lokalisierungs-ID,Localization ID
FW_DEBUG_DIALOGUES_ATTRIBUTES_TEXT,Text,Text
FW_DEBUG_DIALOGUES_ATTRIBUTES_NAME,Name,Name
FW_DEBUG_DIALOGUES_ATTRIBUTES_VOX,Vox,Vox
FW_DEBUG_DIALOGUES_ATTRIBUTES_VOX_FILE,Vox-Datei,Vox-File
FW_DEBUG_DIALOGUES_ATTRIBUTES_VOX_PITCH,Tonhöhe,Pitch
FW_DEBUG_DIALOGUES_ATTRIBUTES_VALUE,Wert:,Value:
FW_DEBUG_DIALOGUES_ATTRIBUTES_NEW_KEY,Neuer Schlüssel:,New key:
